ProcName,Path,ProcessId,_time,app,app:able_to_transfer_file,app:category,app:default_ports,app:evasive,app:excessive_bandwidth,app:has_known_vulnerability,app:risk,app:subcategory,app:used_by_malware,application,bytes_in,bytes_out,dest_port,protocol,src_ip,threat:category,threat:cve,threat:severity,threat_id,threat_name,transport,type,url,DriveType,FileSystem,FreeSpaceKB,DriveName,TotalSpaceKB,UsedSpaceKB,EventCode,Logon_ID,User,Event_time,Network_transfer,Network_time,Traffic_type,Reg_time,Rdata,Revent_status,key_path,Rpid,Rprocess_image,registry_type,SEP_time,SEP_action,SEP_app,direction,SEP_local_port,SEP_packet_id,SEP_remote_host,SEP_tag,Serv_Desc,Serv_Name,StartMode,Serv_Started,Serv_time,Attack1,Attack2,Attack3,Attack4,Attack5
1,1,2220,124908,1,1,2,253,1,1,2,4,1,2,5,0,109,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920232890,1,976743932,56511042,538,1,1,060500,0,0,0,134935,0,0,1,10816,1,1,135409,0,1,2,4487,25276255,10121,1,1,1,2,2,130251,1,0,0,0,0
1,1,2188,124906,1,1,2,2137,1,1,2,2,1,1,0,0,276,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920818568,1,976743932,55925364,576,1,1,060500,0,0,0,134935,0,0,1,10816,1,1,135409,0,1,1,4487,25276254,10121,1,1,1,2,2,130251,1,0,0,0,0
1,1,2128,124905,1,2,2,280,2,2,2,4,0,1,1,6636,619,65000,2,10310,0,0,0,0,0,2,1,0,1,0,920829883,1,976743932,55914049,528,1,1,060500,0,0,0,134935,0,0,1,6704,1,1,135409,0,1,2,4487,25276253,10121,1,1,1,3,1,130251,1,0,0,0,0
1,1,2004,124904,1,2,2,2443,1,1,2,4,3,2,4,66,400,65000,2,10309,0,0,0,0,0,2,1,0,1,0,920323885,1,976743932,56420047,552,1,10,060500,0,0,0,134934,0,0,1,10816,1,1,135409,0,1,1,4487,25276252,10121,1,1,1,1,1,130251,1,0,0,0,0
1,1,1924,124903,1,1,2,253,1,1,2,4,1,2,5,165,86,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920240559,1,976743932,56503373,680,0,1,060500,0,0,0,134934,0,0,1,10816,1,1,135409,0,1,1,4487,25276251,10121,1,0,1,2,2,130251,1,0,0,0,0
1,1,1888,124903,1,1,2,253,1,1,2,4,1,2,5,165,86,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920664596,1,976743932,56079336,538,1,1,060500,0,0,0,134934,0,0,1,6704,1,1,135409,0,1,2,4487,25276250,10121,1,1,1,1,2,130251,1,0,0,0,0
1,1,1860,124902,1,1,2,253,1,1,2,4,1,2,5,318,442,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920949523,1,976743932,55794409,576,1,1,060500,0,0,0,134933,0,0,1,10816,1,1,135409,0,1,1,3212,25276249,10308,0,1,1,1,1,130251,1,0,0,0,0
1,1,1780,124902,1,1,2,253,1,1,2,4,1,2,5,314,88,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920634676,1,976743932,56109256,528,1,1,060500,0,0,0,134933,0,0,1,10816,1,1,135409,0,1,2,3212,25276248,10308,0,0,1,1,1,130251,1,0,0,0,0
1,1,1700,124901,1,2,2,280,2,2,2,4,0,1,1,6740,619,65000,2,10310,0,0,0,0,0,2,1,0,1,0,920148327,1,976743932,56595605,552,1,10,060500,0,0,0,134933,0,0,1,6704,1,1,135409,0,1,1,3212,25276247,10308,0,1,1,2,2,130251,1,0,0,0,0
1,1,1616,124900,1,1,2,2146,1,1,2,2,5,1,5,0,518,65000,1,223104,0,0,0,0,0,1,1,0,1,0,920962867,1,976743932,55781065,680,0,1,060500,0,0,0,134932,0,0,1,10816,1,1,135409,0,1,2,3212,25276246,10308,0,1,1,2,2,130251,1,0,0,0,0
1,1,1132,124900,1,1,2,2146,1,1,2,2,5,1,5,0,518,65000,1,223104,0,0,0,0,0,1,1,0,1,0,920253683,1,976743932,56490249,576,1,1,060500,0,0,0,134932,0,0,1,10816,1,1,135408,0,1,2,4487,25276245,10121,1,1,1,2,2,130251,1,0,0,0,0
1,1,1084,124859,1,2,2,280,1,1,2,3,0,1,5,0,0,65000,2,88559,0,0,0,52060,1,0,2,1,1,0,920890880,1,976743932,55853052,528,1,1,060500,0,0,0,134932,0,0,1,10816,1,1,135408,0,1,1,4487,25276244,10121,1,1,1,2,2,130251,1,0,0,0,0
1,1,1044,124857,1,2,2,280,2,2,2,4,0,1,1,6676,619,65000,2,10310,0,0,0,0,0,2,1,0,1,0,920031193,1,976743932,56712739,552,1,10,060500,0,0,0,134932,0,0,1,10816,1,1,135408,0,1,1,4487,25276243,10121,1,1,1,1,2,130251,1,0,0,0,0
1,1,1004,124855,1,2,1,280,1,1,2,4,4,2,3,32138,1406,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920688674,1,976743932,56055258,680,0,1,060500,0,0,0,134932,0,0,1,10816,1,1,135408,0,1,2,4487,25276242,10121,1,1,1,1,1,130251,1,0,0,0,0
1,1,956,124855,1,2,2,280,2,2,2,4,0,1,1,9249,597,65000,2,10212,0,0,0,0,0,2,1,0,1,0,920011701,1,976743932,56732231,538,1,1,060400,0,0,0,134932,0,0,1,10816,1,1,135408,0,1,2,4487,25276241,10121,1,1,1,2,2,130251,1,0,0,0,0
